verbatim_text,pattern_type,matched_value,state,extraction_method
"uage data. Based on prior work, from 2019 to 2020, Home State 
realized a reduction in health disparities among Black members across the following HEDIS measures:
භ Asthma Medication (Total 5 to 64): 5.6% reduction in disparity
භ Childhood Immunization Status Combo 3: 2.3% reduction in disparity 
භ ",improvement,5.6,Missouri,pattern
"ed a reduction in health disparities among Black members across the following HEDIS measures:
භ Asthma Medication (Total 5 to 64): 5.6% reduction in disparity
භ Childhood Immunization Status Combo 3: 2.3% reduction in disparity 
භ Comprehensive Diabetes Care (Blood Pressure Control): 3.7% reduction ",improvement,2.3,Missouri,pattern
"easures:
භ Asthma Medication (Total 5 to 64): 5.6% reduction in disparity
භ Childhood Immunization Status Combo 3: 2.3% reduction in disparity 
භ Comprehensive Diabetes Care (Blood Pressure Control): 3.7% reduction in disparity 
භ Initiation and Engagement of AOD (Initiation Total): 2.3% reduction i",improvement,3.7,Missouri,pattern
"d Immunization Status Combo 3: 2.3% reduction in disparity 
භ Comprehensive Diabetes Care (Blood Pressure Control): 3.7% reduction in disparity 
භ Initiation and Engagement of AOD (Initiation Total): 2.3% reduction in disparity
භ Prenatal and Postpartum Care (Timeliness of Prenatal Care): 1.0% reduc",improvement,2.3,Missouri,pattern
"(Blood Pressure Control): 3.7% reduction in disparity 
භ Initiation and Engagement of AOD (Initiation Total): 2.3% reduction in disparity
භ Prenatal and Postpartum Care (Timeliness of Prenatal Care): 1.0% reduction in disparity
When looking at the top 10 chronic conditions in 2020, and potential are",improvement,1.0,Missouri,pattern
"viders 
opportunity for reconsideration and 
peer discussion during concurrent 
admission to avoid a claim denial 
and need for an appeal.
Just 6 months after implementing 
the process we have seen a 6% 
reduction in appeals for 30
-day 
readmission.
NICU Level of 
Care (LOC)
Uptick in post 
service",improvement,6,Missouri,pattern
"ts has been non-
emergent transportation. By working with our transportation vendor, MTM, we were now able to offer Lyft and 
Uber to the list of available transportation providers which has led to a 20% reduction in transportation 
complaints from 2020 to 2021. During our annual QI program evaluati",improvement,20,Missouri,pattern
"Home State 
audits 10 calls for each CSR to evaluate the accuracy of the 
information provided. If any errors are identified, we provide 
training and coaching. In 2022, we will implement a new omni-
12% Increase in Provider 
Satisfaction
From 2019 to 2020, Home State 
increased provider satisfactio",improvement,12,Missouri,pattern
"ths of 31.7% and the state of Missouri rate 
of 30.1%. From 2018 to 2020, Home State reduced C-section rates by 1.8%. From 2017 to 2020, Home State 
increased average prenatal visits by 28% and saw a 0.7% reduction in low birth weight births.
Dental Services. Home State collaborates with Envolve Den",improvement,0.7,Missouri,pattern
"lication focused exclusively on delivering unlimited access, via video consultation, to an expert network of 
lactation, diet, and nursing experts. For our Medicaid members, Pacify has demonstrated a 10% reduction in inpatient stay per 1000, and when Pacify 
was combined with member participation in",improvement,10,Missouri,pattern
"as prenatal nutrition to influence member health
care decisions (e.g., prenatal care, postpartum visits, immunization, etc.). Home State has demonstrated increased compliance with Well Child visits 
(2.75% increase among members using Pacify), the number of prenatal visits (members using Pacify atte",improvement,2.75,Missouri,pattern
"ased compliance with Well Child visits 
(2.75% increase among members using Pacify), the number of prenatal visits (members using Pacify attended 1.4 additional prenatal visits) and 
postpartum care (10.7% increase in postpartum care visits among Pacify users).
Provider Education Activities. Our pro",improvement,10.7,Missouri,pattern
"a separate $100 bonus for a single postpartum visit within 7 to 84 days of delivery. Helping to 
Start Smart for Your Baby 
Awards and Outcomes
භ Reduced C-section rates by 1.8% 
from 2018 to 2020 
භ 6.3% decrease in Preeclampsia 
diagnoses during pregnancy from 
2018 to 2019 for Black women and 
a ",improvement,6.3,Missouri,pattern
"rt Smart for Your Baby 
Awards and Outcomes
භ Reduced C-section rates by 1.8% 
from 2018 to 2020 
භ 6.3% decrease in Preeclampsia 
diagnoses during pregnancy from 
2018 to 2019 for Black women and 
a 3.0% decrease for women living in 
urban areas.
භ 0.7% reduction in low-birth-weight 
rates from 201",improvement,3.0,Missouri,pattern
"ced C-section rates by 1.8% 
from 2018 to 2020 
භ 6.3% decrease in Preeclampsia 
diagnoses during pregnancy from 
2018 to 2019 for Black women and 
a 3.0% decrease for women living in 
urban areas.
භ 0.7% reduction in low-birth-weight 
rates from 2018 to 2019
භ From 2017-2020, Home State 
increased ",improvement,0.7,Missouri,pattern
"vel of care. The member, provider, and CM staff receive 
Babylon 360 Virtual VBP Outcomes
Over nine months, we achieved the following outcomes for 
participating Babylon 360 members and providers: 
භ 3% decrease in non-emergent ER visits 
භ From Q4 2020 to Q1 2021, improved in the following 
